Title	Link	Creator	Transcript	Status
Why is my job recession proof? | Dr Pal	https://www.youtube.com/watch?v=RRuA26lTbno	Dr Pal	so I am in the surgery center today and I run out of job okay so look at this time is at 7 00 am and they have all the breakfast ready and look at the cookies um this is a cake muffin biscuits and if you come all the way over here you have croissant you have this I don this looks like a big cake and look at this this is lasagna I will never pronounce this properly but something that is not good as well this is not only inside the surgery center I surgery center in the kitchens of all the other patients families rooms as well so that is why I job will be Evergreen until this changes	Success
Oil vs ghee - Which is better and how much to take? | Dr Pal	https://www.youtube.com/watch?v=gpAXZVvGMC8	Dr Pal	seed oils like sunflower oils sesame oil and canola oil contain healthy omega-3 and omega-6 fatty acid called linoleic acid when this linoleic acid exceeds 10 percent of your daily energy intake it causes inflammation leading to heart disease when the Sun rises sunflower opens up when the oil level rises our heart might have to be opened up for bypass surgery so people started using ghee ghee is an excellent source of healthy fats but again when it goes beyond 10 percent of your daily energy intake it can cause the same problem as well the question should not be whether oil or ghee is good the question should be how mature you ghee all over the plate as if she drawing a pattern to unlock the Android phone the heart pattern actually unlocks all the heart problems when you have belly fat your oil or ghee consumption should not be more than 500 ml per month my friends day my cooking oil usage is exactly similar to Hair Oil usage during shower death very minimal then I came to know that he bath every day	Success
Beware of buy one get one free offer! | Dr Pal	https://www.youtube.com/watch?v=xEqWMDkyaQQ	Dr Pal	I just want to show you one really quick thing so there in our area and now it is a grand opening for them but it grand opening of our belly sometimes later because of this offer look at this it says buy any one Biryani and get one appetizer free so actually it is not one appetizer free they buy one get two free offer one Biryani one free appetizer and also one free belly fat so to avoid that you know I love Biryani as well so you get the Biryani at lunch and save the appetizer for tomorrow it for you and for the restaurant as well and when you get the appetizer don this Gopi 65 fried cauliflower okay no matter how tasty it is get a grilled vegetables if it is a possibility but unfortunately I have never seen a grilled vegetable option in any Indian restaurant so far if you have one please let me	Success
Is green tea good for weight loss ? | Dr Pal	https://www.youtube.com/watch?v=lLlWKXUcHfA	Dr Pal	why is green tea so popular every food that we eat gets digested by the stomach acids and dangerous molecules called free radicals or liberated during the process when our body cells comes in contact with these free radicals they get oxidized and gets damaged anything that absorbs these free radicals are called antioxidants green tea contains catechin which is a powerful antioxidant absorbed in all the free radicals but nobody is talking about apples Blackberry cherries go over and pears which have more antioxidants than green tea this is the bitter truth but green tea is the bitter of all even better is 12 hours fasting overnight our hormones will take care of all these free radicals and it is absolutely free drinking green tea will help in weight loss only if you climb the mountains and pick the green tea leaves by yourself my friends after complete Massacre of non-veg dishes brings green tea at the end he treats green tea as a Church Father asking for forgiveness for his mistakes his mantra isana	Success
Which foods should you buy organic ? #dirtydozen | Dr Pal	https://www.youtube.com/watch?v=-yZYgUg2Kk0	Dr Pal	seventy percent of fruits and vegetables sold in Supermarket contain harmful chemical pesticide residues this is not a problem for my friends because he never eats fruits he behaves like as if he is Adam who made the mistake of eating the fruit from The Forbidden tree environmental working group has figured out 12 foods which they call as Dirty Dozen containing the most harmful pesticide residues the top two in the list of spinach and strawberries followed by apples grapes and tomatoes now the cartoon character Popeye instead of saving people by eating spinach Popeye would be conducting pattimandram like papaya whether to eat spinach or not the problem is to buy organic spinach we need to sell one kidney because of the price however if we can afford to live with one kidney then we can buy at least the dirty dozen as organic other options include buying locally grown from your farmer and washing your vegetables and fruits thoroughly before you peel if not the dirty desert will make your health dirty even if you worship all the Dozen zodiac signs	Success
Why should you take left over rice (Pazhaya Soru) | Dr Pal	https://www.youtube.com/watch?v=MAVvSHyb9tw	Dr Pal	our intestine has 50 trillion bacteria which corresponds to one bacteria per one cell unfortunately there are both good and bad bacteria these bacteria are actually the second brain because these interact with areas in our first brain which process emotions when that bacteria is more than the good bacteria in our small intestine we don control over our Biryani I emotion this leads to increased depression anxiety obesity and heart attack studies show that when you eat fermented products like palaya soil small intestinal good bacteria multiply so much what an irony bacteria is becoming viral Palace or is the leftover rice which is soaked in water with chili and onions in a clay pot overnight and the rice will be fermented in the morning another irony is homeless in the United States are obese because they get leftover Kentucky Fried Chicken but homeless in India are very lean because they get left over we treated the nutritious fermented rice as a purpose food but we are the actual poppers who can	Success
Is natural sugar from fruit just as ÂbadÂ as added sugar?	https://www.youtube.com/watch?v=2yg5_SmLCps	Dr Pal	so if that someone maybe with nafld you to not eat an orange yeah i think that natural fruits are fine including like fake fruits like grapes i call grapes fake yeah there are certain fruits that have uh that are high in sugar um you know mangoes of figs oh my god they enriched in fructose figs are probably something that we should voice oh dates yes you know mangoes are high apples and um pears plums they tend to be fairly high like around 910 grams i think oranges are around six grams bananas are fairly high glycemic and uh they have a fair amount of fructose but it eight grams i think what we show notes is we together a table of yeah i have a great table typical sizes because i this is actually used to me i would have guessed fruits would have a little bit more but it no it you know 3 grams and nine to 10 grams max and most fruits are around four to six grams some fruits have much less sugar like kiwi like berries strawberries blueberries they should be encouraged to eat those and we actually did a study uh where we gave what we gave people a low sugar diet where they was low in refined sugar low in high fructose corn syrup um and uh but we uh one group got of natural fruit and the other group we restricted that too so it was either a low fructose diet that was low fructose in all aspects the other was low sugar low fructose but you actually was sort of a modest total fructose intake and when we did that we found equivalent improvement in metabolic syndrome um and so the the presence of natural fruit did not block the ability of the of the low sugar diet to to reduce um or to improve metabolic syndrome so the takeaway here is don drink it and don think this is a difficult thing for people to differentiate right so added sugar is when a food has sucrose or high fructose corn syrup are typically the most common agents that are added right and it to the food so if you have if you go out and get a jar of pasta sauce it they added sugar to it they yes that from the tomatoes that go into making that it sucrose or high fructose corn syrup to make it taste sweeter and remember that the intestine does act as a shield for up to like five or four to six grams of fructose so if you eat four or five grams of fructose in a fruit the intestine is going to protect you in addition the intestine you have fiber in a natural fruit and that slows the absorption so the concentration of fructose that gets to the liver is lower so there about dry versus not dry so if you take um dried apples so if you if you if you take the equivalent of apple chips versus apples but you take equal amounts of the actual calories so it know obviously one is a lot bigger because it in it what metabolize that yeah the trouble with dried fruit is it it fructose but a lot of the good things are are removed so that sort of like candy this podcast is for general informational purposes only and does not constitute the practice of medicine nursing or other professional health care services including the giving of medical advice no doctor-patient relationship is formed the use of this information and the materials linked to this podcast is at the user podcast is not intended to be a substitute for professional medical advice diagnosis or treatment users should not disregard or delay in obtaining medical advice from any medical condition they have and they should seek the assistance of their health care professionals for any such conditions finally i take conflicts of interest very seriously for all of my disclosures and the companies i invest in or advise please visit peteratiammd.com forward slash about where i keep an up-to-date and active list of such companies [Music]	Success
Idli vs Dosa - Which is better? | Dr Pal	https://www.youtube.com/watch?v=0oIrpJB7TcY	Dr Pal	so which one to choose Dosa or Italy in our Docker pass normal carb diet method insulin can handle approximately 150 to 200 grams of cups per day let the numbers one medium size Italy contains about 6 grams of carbs one medium sized Dosa contains around 25 grams of carbs based on our index Italy wins the competition as the carb content is less I Italy my friend saravana Kumar eats family Dosa and Joint family Italy by himself and says family will join later in some cases Italy is sailing on the sea of ghee Lord Krishna would love to jump and do butterfly stroke also Italy should be at least one third over a Dal and not more than two thirds of rice nowadays Italy has become a rice cake to become so fluffy that it acts as a trampoline to bounce on after seeing murugan Italy I thought Lord murga was eating Italy on a daily basis because he has a flat stomach but his brother Lord Ganesha might have been eating Dosa because he has a big stomach maybe kolukete has a snack	Success
Worst food products for KIDS #addedsugar | Dr Pal	https://www.youtube.com/watch?v=jpqjRLCfYfA	Dr Pal	added sugars include table sugar honey jaggery at home and also sugar in the pre-packaged fruit juices and energy drinks the American Heart Association recommend children between 2 to 18 years of age should not get more than 25 grams of added sugars per day they recommend no added sugars at all for kids less than two years of age if the kids refuse to eat we give the food by dipping it in Sugar we cannot wash away this sin even if we take a dip in River ganga one serving of Bon Vita comp plan horlicks Milo has an average of 20 grams of added sugar 200 mL of fruity juice contains 27 grams my friend saravana Kumar has a 90s kid kept on adding sugar to the dissolving rasna packets and said I love you rasna but now he is drinking multiple tonics with rasna color and diabetes says I love you SK replace the packaged foods with real foods like fruits and vegetables and choose water and milk over sugary juices and energy drinks let from Ice Age to Stone Age to Sugar age kids are a bundle of joy not a bundle of Kinder joys	Success
Diet Coke can cause Transgenerational problems? | Dr Pal	https://www.youtube.com/watch?v=aoP9q8E83II	Dr Pal	in a recent Mouse study they gave artificial sweetener called aspartame mixed with water daily to these animals and they performed a variety of maize tests they found out that anxiety Behavior was increasingly pronounced in these animals the key finding is this effect was extended to two generations of males exposed to this aspartame we not only inherit property we also inherit anxiety when a food or a drink contains this label sugar-free it contains this artificial sweetener aspartame most of the times sugar-free products will actually make you more hungry Diet Coke is not only sugar free it tooth-free this is a key for diabetic patients who are falling for sugar-free option next time when you pick up a sugar-free label look for the aspartame ingredient and if it is you give 10 Rupees to the provider and ask him to sell a better product the name Diet Coke is such a misnomer it is exactly similar to my patient organs are damaged	Success
The untold truth of OREO biscuit | Dr Pal	https://www.youtube.com/watch?v=zKL8N74vdY0	Dr Pal	so I section of a grocery store this is the cookie aisle these biscuits are hiding behind but our belly fat is not so I wanted to show you about Oreo biscuit so this is very very famous but the most important thing you need to look into this is high fructose corn syrup so whenever you see high fructose corn syrup on the label just run away from it it is absolutely not good I know your kids will love it but if you want your kids to stay with you for a long time you need to make sure that this biscuit is not in your pantry doesn good the sale is two grams ah what to do bad food	Success
