Title	Link	Creator	Transcript	Status
Doctor Explains: dissolvable stitches	https://www.youtube.com/watch?v=SBxm_2YHBnI	Doctor Myro	have you heard of a dissolvable stitch well this is what we we technique here each bite is going through the dermal layer not the epidermis but the deeper dermis which is a tougher layer you can do this one at a time but here we continuous technique which means each bite forms essentially a human zipper when you pull in it it just Zips it up and the end is the most important part you have to tie a knot that doesn loose cuz otherwise the whole thing comes undone but the knot can just hang out above the skin cuz it infection so you end up burying it underneath the skin like so	Success
THIS is how you should react when your baby falls	https://www.youtube.com/watch?v=HrChyRfy1Ss	Doctor Myro	Proof that how you react matters. Whoops. What did you do? Ah, so cute. So, does it matter? You see, kids take cues from you to figure out the world. Is it scary? Save. No big deal. Obviously, you want to keep them safe, but you also want to give them confidence to explore again. If you do that, they learn how to recover emotionally. That huge.	Success
Dramatic Reaction to Propofol Anesthesia #shorts	https://www.youtube.com/watch?v=4wGQAEUWs8U	Doctor Myro	going to sleep with propofol let I that seconds	Success
They say anesthesia brings out your truest personalityÂ	https://www.youtube.com/watch?v=fFLMyZvsNtc	Doctor Myro	if they say anastesia brings out your truest personality Disneyland yeah we can we can uh we can talk about going to Disneyland yeah I don though that or two though when probably in the summer time that so far away it you want to go noos is it the truest money you don that	Success
Doctor Reacts: extreme throat ??	https://www.youtube.com/watch?v=Mc2DEGFM7sE	Doctor Myro	sir this is not a toy this is a l mask Airway it ambulance or for surgery under anesthesia always an unconscious patience wow	Success
My account got reported?!	https://www.youtube.com/watch?v=K8br-SkMKP0	Doctor Myro		"Error: Could not retrieve transcript: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=K8br-SkMKP0! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
Why shopping carts could make you sick!	https://www.youtube.com/watch?v=Rliz2G59ccw	Doctor Myro	puts baby in the shopping cart for the first time and gets a horrible case of handful of mouth disease so that viral infection it you get them from public spaces like Goodwill bins or shopping carts so the way to avoid this is wipe things down cover your kids and maybe even be that crazy person who wears gloves in the store	Success
Why Q tips are NOT for cleaning ears	https://www.youtube.com/watch?v=-z7kO43lJZs	Doctor Myro	and this is why you should never clean your ears when you use a Q-tip you actually do the opposite you end up pushing ear wax farther inside of the ear canal where it can form an earwax plug and yeah sometimes people actually have to go to the hospital to get these removed wow satisfying to watch though huh wow	Success
Flesh Eating Bacteria in an Oyster?	https://www.youtube.com/watch?v=qKyleOefAVA	Doctor Myro	this is why it here and I don but you oysters amongst many other things raw oysters can contain vibrio have you heard of vibrio yeah you have it called flesh eating bacteria and that exactly what it can do it can fleshy your appendages require amputations it can take you to the ICU and one in five actually die despite Optimal Care there that can clip you at 20 rate and this is one of them	Success
Cardiac Anesthesiologist makes $700k?	https://www.youtube.com/watch?v=qlDSpClm4u8	Doctor Myro	so I advice time well if you found like 200 sometimes it like 700. what makes the difference between such a work how is your work like balance I kids they missed anything of any importance with any of them as they were growing up I one of the people that really cares about that how has your experience been in your field I very lucky how do you get into this so after college went to medical school and then did four years of residency in anesthesia I wasn to do what kind of doctor I wanted to be and then people told me hey a lot of people going into this because it a nice work-life balance depending on how you want to play it so if you like in a really big group I big group that allows me and other people in the group to have more flexibility whereas if you solo practitioner it do that what are the pros and cons of your job in general the pros are I get a lot of job satisfaction taking care of people and what I do	Success
Why sleep deprivation is DANGEROUS	https://www.youtube.com/watch?v=_pUgMZP4fXI	Doctor Myro	If you think you can survive on four to 5 hours of sleep per night, think again because you will have an early death. Studies have repeatedly shown that the optimal amount of sleep is 7 to 9 hours, preferably at least seven. Sleeping more than 9 hours might also be bad, but sleeping less than 6 might be one of the worst things you can do for yourself. So many studies have shown all across the board increased cardiovascular disease, strokes, heart attacks, obesity, cancer, early	Success
Narcan be likeÂ	https://www.youtube.com/watch?v=jUSulvGlkzo	Doctor Myro	overdose is now the number one cause of death less than 40 Narcan is the solution it works in about 2 minutes bam what [Music] what up hey let	Success
WhatÂs on her eye?!	https://www.youtube.com/watch?v=YqGmX3288sg	Doctor Myro		"Error: Unexpected error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=YqGmX3288sg! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

There are two things you can do to work around this:
1. Use proxies to hide your IP address, as explained in the \"Working around IP bans\" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).
2. (NOT RECOMMENDED) If you authenticate your requests using cookies, you will be able to continue doing requests for a while. However, YouTube will eventually permanently ban the account that you have used to authenticate with! So only do this if you don't mind your account being banned!

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
Doctor Explains: the medication that stops your heart ??	https://www.youtube.com/watch?v=Q9x4D7G_sPo	Doctor Myro	this medication stops your heart it called adenosine and we use it when the heart is beating out of control in an arhythmia called SBT and it flatlines the heart the heart is now stopped and it button and then you have to wait and the heart I to come back and then it comes back and you hope the rhythm is normal	Success
This dog is hungrier than it looks ??	https://www.youtube.com/watch?v=vtU-5U-mm64	Doctor Myro	oh so cute and innocent looking you know what he checking to see if you if you to eat you and according to a 2015 study a quarter of the dogs will start eating you in the first 24 hours after you pass even when dog food is available	Success
Doctor Reacts to WILD abilities	https://www.youtube.com/watch?v=vn9ftjsSTpk	Doctor Myro	all right let me in today all right you can that you can either he probably has cleff pellet which is something you can be born with oh don thing you can it all right that that [Music] okay oh oh super flexible maybe he downloads or he	Success
Why you should NEVER ignore a UTI	https://www.youtube.com/watch?v=eb4052A0Bac	Doctor Myro	don untreated it landed her in the hospital because of sepsis and over 200,000 women die of sepsis each year this can happen because your UTI bacteria can actually follow up into your kidney causing pile nefritis or infection of the kidney can then spread into the bloodstream that called sepsis and so this can cause you to lose your kidney or your life	Success
WhatÂs coming out of his nose?!	https://www.youtube.com/watch?v=k3gU4ibvAXw	Doctor Myro	[Music] It Year oh he [Music] upset considering there are no good medications that are approved for kids under four for upper respiratory infections nasal rinses are a natural alternative to improve symptoms and might even short URI duration it can work great for allergies too washing out those allergens 10 out of 10 mom great work but and this is important nasal rinses can actually be deadly and that is if you use tap water which can contain the Glaria fer and amoeba that basically eats your brain causing Amic and sephtis so if you this use sterile saline or boiled water	Success
