Title	Link	Creator	Transcript	Status
Doctor reacts: asmr removal	https://www.youtube.com/watch?v=QCcGiraW5A0	FootDocDana	looks like they ulcer and taking down to Roma at the same time nice	Success
Why eye color is more significant than you think	https://www.youtube.com/watch?v=6E9sZkG5tew	FootDocDana	[Music] yes if you have lighter eye colors like blue or green they might be more sensitive to sunlight these lighter eye colors have less pigment in their Iris this pigment melanin helps to absorb and filter light so with less melanin blue eyes allow more light to pass through which can increase sensitivity and make them more prone to discomfort and glare in bright conditions fun in fact people with blue eyes are also more likely to be sun sneezers which is a phenomenon where bright sunlight triggers a sneezing reflex	Success
Doctor reacts to a sock lifehack	https://www.youtube.com/watch?v=FD_NeUUnLpk	FootDocDana	socks are supposed to provide even coverage on the bottom of your foot you blisters and he sock here guys	Success
Doctor reacts: balloon socks	https://www.youtube.com/watch?v=x6O2Jxza3SA	FootDocDana	all I she being deflated to make socks balloons are usually made of latex or rubber which is horrible material for socks 100% cotton is the way to go	Success
Doctor reacts: amputation at the gym?!	https://www.youtube.com/watch?v=MSa4KSJAe3k	FootDocDana	[Music] moments before he had to get his hand amputated this guy tied his wrist braces so tightly that there going to his hands so basically they acting like a tourniquet in healthcare we use tourniquets during surgery and we try to keep them on for under a couple hours because the longer a tourniquet is left on the greater the chance this lack of blood flow can cause permanent damage even amputation after keeping this on for 1 minute at the gym he see the color coming back	Success
Could this fix a bunion?	https://www.youtube.com/watch?v=M1h1tC28mCA	FootDocDana	that video was so fake he had to add a cracking sound to make it believable all this thing does is hold your toe in that position but once you take it off the bunion will come right back the only real way to fix a bunion is with surgery	Success
This might be why your feet itch!	https://www.youtube.com/watch?v=wo-21xpaZZU	FootDocDana	I need someone to tell me why we get itches on the bottom of our feet that you can it coming from because I and I like this and it will not go away what is it made here reasons the bottom of your feet might itch one would be fungus also known as athletes foot another possibility is eczema or simply dry skin or some sort of nerve abnormality also known as neurop ay finally stress or improper Footwear but those are just boring doctor answers on the other hand some Legends say that if your feet are itchy you so there	Success
How NOT to treat a wound	https://www.youtube.com/watch?v=AXDDqguQipA	FootDocDana	do not do this this guyy is spraying hydrogen peroxide hoping to clean the wound but really it just irritates the skin and makes it harder to heal	Success
What happened to her toes?!	https://www.youtube.com/watch?v=4fDEmI70QBc	FootDocDana	oh look a strawberry oh look a strawberry a lot of people have really small pinky toenails you can thank your parents or tight shoes for that	Success
Doctor reacts: broken heels	https://www.youtube.com/watch?v=iAL6h7BlRAo	FootDocDana	your heel bone is one of the strongest bones in your body but it can still break from a fall from a height [Music]	Success
Doctor reacts: what happened to her leg?!	https://www.youtube.com/watch?v=OilrU52AkoY	FootDocDana	[Music] first let me explain the real reason behind those scars she had surgery something called fasciotomies basically the lower leg is made of compartments and during this surgery large incisions were made to relieve the pressure in these compartments why well she had something called chronic exertional compartment syndrome which is when pressure builds up within the muscle compartments of the leg during physical activity quickly leading to pain and making the activity in possible this is often initially misdiagnosed as shins splints if conservative things like rest and physical therapy fail you may need surgery to relieve this pressure and just a quick note there different kinds of compartment syndrome hers was chronic but if you have acute that needs immediate surgery but going back to her original question she should tell her students that she got those scars from leaning back in her school desk too much	Success
Doctor reacts: post op surprise	https://www.youtube.com/watch?v=AhiK4MSQLOI	FootDocDana	let in today looks like he recently had surgery because of those crutches I wouldn he dry what	Success
