Title	Link	Creator	Transcript	Status
GenZ as doctors	https://www.youtube.com/watch?v=_OR48B404GU	FootDocDana	[Music] probably not bro she F to not make it bet that probably not	Success
The study hack that made me a doctor	https://www.youtube.com/watch?v=CDF60kuTdko	FootDocDana	I love my S and my Fs in the video for promiscuous my style is [Music] ridiculous see us in the club be acting real nice see	Success
Peanut allergies in a nutshell ??	https://www.youtube.com/watch?v=cDgs7oegV3k	FootDocDana	pass pass pass smash	Success
The intrusive thoughts wonÂ	https://www.youtube.com/watch?v=xWJOoJYXhD8	FootDocDana	all eyes on me horrified looks from everyone in the room	Success
Surgeon plays operation!	https://www.youtube.com/watch?v=mnmUI_Vw8-c	FootDocDana	guys come on just because I doesn or that I want to play it for you it just I got it usually it is a group game but today it to pull out as many as I can in 30 seconds without making it Buzz okay wish me look starting now I easiest ones first uh here and I can grab the head of the butterfly all right and this rub band um these spare RS woo and oh the bucket looks easy okay and this bone and maybe the heart I broke his heart	Success
How I know IÂm getting old	https://www.youtube.com/watch?v=7702RkBSunI	FootDocDana	foreign	Success
I couldnÂt take this seriously	https://www.youtube.com/watch?v=wyYhdLJnZ8Q	FootDocDana	I I have to laugh I ridiculous	Success
I didnÂt see this comingÂ	https://www.youtube.com/watch?v=ELxD6zPfxKw	FootDocDana		"Error: Could not retrieve transcript: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ELxD6zPfxKw! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
IÂm on Greys Anatomy?!	https://www.youtube.com/watch?v=bI1b6AhfjHM	FootDocDana	[Music] I	Success
Awkward surgery moment	https://www.youtube.com/watch?v=Q3Pm88yaqCA	FootDocDana		"Error: Could not retrieve transcript: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=Q3Pm88yaqCA! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
Doctor fail	https://www.youtube.com/watch?v=bW4Zfy8LcCQ	FootDocDana	you think the wind is ever trying to tell us something we don hear it anymore I just want you to stop saying odd	Success
Why doctors hate TikTok	https://www.youtube.com/watch?v=xVQ3DaBorfs	FootDocDana	you guys sent me this video uh it looks like candy believe me like goddamn vampire	Success
Why I got in trouble at the airport	https://www.youtube.com/watch?v=cmjNrXvbLmw	FootDocDana	don don don don don don don don should we get a bag	Success
Doctor reacts to CRAZY medical TikToks | FootDocDana compilation	https://www.youtube.com/watch?v=Vif5WUELnjk	FootDocDana	I heard there was an ankle injury here that never mind I thought this was an abscess at first but then he zooms over and you can see his scar from a previous surgery which means there might have been Hardware put in like screws or an anchor and that kind of looks like a screw head to me so see your surgeon don [Music] good soup this is a plastic cover to put on the bottom of your shoe to stop it from getting the house dirty or just take off the shoes [Music] two three four five this person has an extra toe the medical term for this is polydactyly never mind I think sometimes it goes unnoticed but a lot of people in the United States have amputations an estimated 1.6 million and most of them are in the foot I think Prosthetics like this can be amazing for a certain population and really help with quality of life what do you think it was a small Splinter on top of the nail foreign why though I have never seen a video quite like this they start by scraping what they say is a splinter with a curette usually we use these for just superficial lesions nothing too crazy and it just looks like they something small so we see a little bleeding nothing too crazy said it weeks or something like that so we just gently pressing oh my gosh that is the biggest Splinter I seen wow I does anyone know how this happened [Music] forbidden water balloon no this is a burn blister you might have heard me say not to pop these before but this is a different case it can get very large and painful and necessary overall pretty well done and satisfying to watch I still wouldn top protective layer though	Success
First week as a doctor be like	https://www.youtube.com/watch?v=SobuIX77b8Y	FootDocDana	do you want to form an alliance with me absolutely I do good good excellent	Success
Doctors after zoom university be like	https://www.youtube.com/watch?v=8c9uBPiNgek	FootDocDana	don	Success
I wear pajamas to work. (No, I donÂt work from home)	https://www.youtube.com/watch?v=M32ZDyJ4exs	FootDocDana	when I was a kid I didn up early so I would sleep in my clothes the night before and one time my dad was like you know sweetheart that good idea but once you you you morning and get dressed you can sleep in your work clothes well who	Success
